"AC","Description","Fortitude","HP","Initiative","Other Abilities","Other Health","Reflex","Senses","Speed","Will","id","name"
"22","Medium natural humanoid XP 88 ","20","1","+7","Longsword (standard; at-will)  Weapon +10 vs. AC; 6 damage. Hobgoblin Resilience (immediate reaction, when the hobgoblin warrior suffers an effect that a save can end; encounter) The hobgoblin warrior makes a saving throw against the triggering effect. Phalanx Soldier The hobgoblin warrior gains a +2 bonus to AC while at least one hobgoblin ally is adjacent to it. Alignment Evil Languages Common, Goblin Skills Athletics +9, History +5 Str 19 (+7) Dex 14 (+5) Wis 14 (+5) Con 15 (+5) Int 11 (+3) Cha 10 (+3) Equipment scale armor, light shield, longsword","HP 1: a missed attack never damages a minion. ","18","Perception +5; low-light vision ","6","18","155",""
"17","Medium natural humanoid XP 150 ","13","39","+7","Longsword (standard; at-will)  Weapon +6 vs. AC; 1d8 + 2 damage. r Longbow (standard; at-will)  Weapon Ranged 20/40; +9 vs. AC; 1d10 + 4 damage, and the hobgoblin archer grants an ally within 5 squares of it a +2 bonus to its next ranged attack roll against the same target. Hobgoblin Resilience (immediate reaction, when the hobgoblin archer suffers an effect that a save can end; encounter) The hobgoblin archer rolls a saving throw against the effect. Alignment Evil Languages Common, Goblin Skills Athletics +5, History +6 Str 14 (+3) Dex 19 (+5) Wis 14 (+3) Con 15 (+3) Int 11 (+1) Cha 10 (+1) Equipment leather armor, longsword, longbow, quiver of 30 arrows","HP 39; Bloodied 19 ","15","Perception +8; low-light vision ","6","13","156",""
"20","Medium natural humanoid XP 150 ","18","47","+7","Flail (standard; at-will)  Weapon +7 vs. AC; 1d10 + 4 damage, the target is marked and slowed until the end of the hobgoblin soldier's next turn. M Formation Strike (standard; at-will)  Weapon Requires flail; +7 vs. AC; 1d10 + 4 damage, and the hobgoblin soldier shifts 1 square provided it ends in a space adjacent to another hobgoblin. Hobgoblin Resilience (immediate reaction, when the hobgoblin soldier suffers an effect that a save can end; encounter) The hobgoblin soldier rolls a saving throw against the effect. Phalanx Soldier The hobgoblin soldier gains a +2 bonus to AC while at least one hobgoblin ally is adjacent to it. Alignment Evil Languages Common, Goblin Skills Athletics +10, History +8 Str 19 (+5) Dex 14 (+3) Wis 14 (+3) Con 15 (+3) Int 11 (+1) Cha 10 (+1) Equipment scale armor, heavy shield, flail","HP 47; Bloodied 23 ","16","Perception +3; low-light vision ","5","16","157",""
"17","Medium natural humanoid XP 150 ","13","46","+5","Quarterstaff (standard; at-will)  Weapon +8 vs. AC; 1d8 + 1 damage. M Shock Staff (standard; recharge    )  Lightning , Weapon Requires quarterstaff ; +8 vs. AC; 2d10 + 4 lightning damage, and the target is dazed until the end of the hobgoblin warcaster's next turn. R Force Lure (standard; recharge   )  Force Ranged 5; +7 vs. Fortitude; 2d6 + 4 force damage, and the target slides 3 squares. C Force Pulse (standard; recharge  )  Force Close blast 5; +7 vs. Reflex; 2d8 + 4 force damage, and the target is pushed 1 square and knocked prone. Miss: Half damage, and the target is neither pushed nor knocked prone. Hobgoblin Resilience (immediate reaction, when the hobgoblin warcaster suffers an effect that a save can end; encounter) The hobgoblin warcaster rolls a saving throw against the effect. Alignment Evil Languages Common, Goblin Skills Arcana +10, Athletics +4, History +12 Str 13 (+2) Dex 14 (+3) Wis 16 (+4) Con 14 (+3) Int 19 (+5) Cha 13 (+2) Equipment robes, quarterstaff","HP 46; Bloodied 23 ","15","Perception +4; low-light vision ","6","14","158",""
"21","Medium natural humanoid XP 200 ","21","64","+8","Spear (standard; at-will)  Weapon +12 vs. AC; 1d8 + 5 damage; see also lead from the front. If the hobgoblin commander hits with an opportunity attack, it shifts 1 square. C Tactical Deployment (minor; recharge   ) Close burst 5; allies in the burst shift 3 squares. Lead from the Front When the hobgoblin commander's melee attack hits an enemy, allies gain a +2 bonus to attack rolls and damage rolls against that enemy until the end of the hobgoblin commander's next turn. Hobgoblin Resilience (immediate reaction, when the hobgoblin commander suffers an effect that a save can end; encounter) The hobgoblin commander rolls a saving throw against the effect. Phalanx Soldier The hobgoblin commander gains a +2 bonus to AC while at least one hobgoblin ally is adjacent to it. Alignment Evil Languages Common, Goblin Skills Athletics +12, History +10, Intimidate +7 Str 20 (+7) Dex 14 (+4) Wis 16 (+5) Con 16 (+5) Int 12 (+3) Cha 10 (+2) Equipment scale armor, heavy shield, spear","HP 64; Bloodied 32 ","18","Perception +5; low-light vision ","5","19","159",""
"26","Large natural animate (construct) XP 1,400 ","29","304","+4","; can't shift Action Points 1Slam (standard; at-will) Reach 2; +16 vs. AC (+18 while bloodied); 2d8 + 5 damage, and the target is dazed (save ends). M Double Attack (standard; at-will) The flesh golem makes two slam attacks. M Berserk Attack (immediate reaction, when damaged by an attack while bloodied; at-will) The flesh golem makes a slam attack against a random target within its reach. M Golem Rampage (standard; recharge   ) The flesh golem moves up to its speed plus 2 and can move through enemies' spaces, provoking opportunity attacks as normal. When it enters a creature's space (ally or enemy), the golem makes a slam attack against that creature. The creature remains in its space, and the golem must leave the space after it attacks. The golem must end its rampage in an unoccupied space. Alignment Unaligned Languages -- Str 20 (+11) Dex 7 (+4) Wis 8 (+5) Con 22 (+12) Int 3 (+2) Cha 3 (+2)","HP 304; Bloodied 152; see also berserk attack ","21","Perception +5; darkvision ","6","22","160",""
"33","Large natural animate (construct) XP 3,200 ","33","336","+8","; can't shift Action Points 1Slam (standard; at-will) Reach 2; +23 vs. AC; 3d6 + 7 damage, and the target is pushed 1 square and dazed (save ends). M Double Attack (standard; at-will) The stone golem makes two slam attacks. M Golem Rampage (standard; recharge   ) The stone golem moves up to its speed plus 2 and can move through enemies' spaces, provoking opportunity attacks as normal. When it enters a creature's space (ally or enemy), the golem makes a slam attack against that creature. The creature remains in its space, and the golem must leave the space after it attacks. The golem must end its rampage in an unoccupied space. C Death Burst (when reduced to 0 hit points) The stone golem explodes in a burst of jagged stones. Close burst 1; +23 vs. AC; 2d6 + 7 damage, and the space it occupied is difficult terrain until cleared. Alignment Unaligned Languages -- Str 24 (+15) Dex 7 (+6) Wis 8 (+7) Con 24 (+15) Int 3 (+4) Cha 3 (+4)","HP 336; Bloodied 168; see also death burst ","24","Perception +7; darkvision ","6","24","161",""
"25","Large elemental beast (earth) XP 600 ","25","120","+9"," (earth walk)Gore (standard; at-will) +17 vs. AC; 1d10 + 6 damage. M Earthshaking Charge (standard; recharge   ) The iron gorgon makes a charge attack; +15 vs. Fortitude; 2d10 + 6 damage, and if the target is Medium or smaller, it is pushed 3 squares and knocked prone. M Trample (standard; at-will) The iron gorgon can move up to its speed and enter enemies' spaces. This movement provokes opportunity attacks, and the iron gorgon must end its move in an unoccupied space. When it enters an enemy's space, the gorgon makes a trample attack: +15 vs. Reflex; 1d8 + 6 damage, and the target is knocked prone. C Petrifying Breath (standard; recharge  )  Poison Close blast 3; gorgons are immune; +15 vs. Fortitude; 2d6 + 7 poison damage, and the target is dazed and slowed (save ends both). First Failed Save: The target is immobilized instead of dazed and slowed (save ends). Second Failed Save: The target is petrified (no save). Alignment Unaligned Languages -- Str 22 (+11) Dex 14 (+7) Wis 17 (+8) Con 24 (+12) Int 2 (+1) Cha 6 (+3)","HP 120; Bloodied 60 ","20","Perception +8; truesight 6 ","6","21","162",""
"42","Large elemental beast XP 9,000 ","40","248","+21",", fly 10 (hover); see alsobile melee attack m Gore (standard; at-will)  Thunder +31 vs. AC; 1d10 + 12 damage plus 2d8 thunder damage, and the target is pushed 2 squares and knocked prone. M Mobile Melee Attack (standard; at-will) The storm gorgon can move up to half its speed and make one melee basic attack at any point during that movement. The storm gorgon doesn't provoke opportunity attacks when moving away from the target of its attack. M Trample (standard; at-will) The storm gorgon can move up to its speed and enter enemies' spaces. This movement provokes opportunity attacks, and the gorgon must end its move in an unoccupied space. When it enters an enemy's space, the gorgon makes a trample attack: +29 vs. Reflex; 1d10 + 10 damage, and the target is knocked prone. C Storming Breath (standard; recharge  )  Lightning , Thunder Close blast 5; +29 vs. Fortitude; 2d10 + 20 lightning and thunder damage. Alignment Unaligned Languages -- Str 30 (+23) Dex 22 (+19) Wis 23 (+19) Con 32 (+24) Int 2 (+9) Cha 8 (+12)","HP 248; Bloodied 124 ","35","Perception +19; truesight 6 Tempest's Fury (Lightning ) aura 5; any creature that enters or starts its turn in the aura takes 20 lightning damage. ","8","35","163",""
"21","Large aberrant beast XP 400 ","22","116","+5",", climb 4Tentacle Rake (standard; at-will) Reach 2; +13 vs. AC; 2d8 + 5 damage, and the target is grabbed (until escape) and takes ongoing 5 damage (save ends). M Vicious Bite (standard; at-will) Grabbed target only; automatic hit; 1d8 + 5 damage. Expert Flanker The grick alpha gains a +2 bonus to attack rolls against an enemy it is flanking. Pinning Grip The grick alpha's allies gain a +2 bonus to attack rolls against an enemy grabbed by this creature. Alignment Unaligned Languages -- Skills Endurance +12, Stealth +10 Str 20 (+9) Dex 13 (+5) Wis 15 (+6) Con 16 (+7) Int 2 (+0) Cha 7 (+2)","HP 116; Bloodied 58 ","17","Perception +11; darkvision ","7","18","164",""
"35","Large elemental beast (cold, mount) XP 2,800 ","37","186","+17",", fly 10, overland flight 15; see also flyby attackBite (standard; at-will)  Cold +25 vs. AC; 1d8 + 7 damage plus 1d10 cold damage. M Flyby Attack (standard; at-will) The rimefire griffon flies up to 10 squares and makes one melee basic attack at any point during that movement. The rimefire griffon doesn't provoke opportunity attacks when moving away from the target of the attack. C Rimefire Blast (standard; starts uncharged; recharges after hitting twice with a bite attack)  Fire Close blast 5; +23 vs. Reflex; 2d10 + 5 fire damage. C Rider Resistance (while mounted by a friendly rider of 20th level or higher; at will)  Mount The rimefire griffon grants its rider resist 10 cold and 10 fire. Alignment Unaligned Languages -- Str 24 (+17) Dex 20 (+15) Wis 18 (+14) Con 18 (+14) Int 4 (+7) Cha 10 (+10)","HP 186; Bloodied 93 ","33","Perception +14 ","5","32","165",""
"24","Medium natural humanoid (blind) XP 250 ","24","1","+6","Greataxe (standard; at-will)  Weapon +17 vs. AC; 7 damage (9 damage against a bloodied target). Alignment Evil Languages Common, Deep Speech Str 17 (+8) Dex 12 (+6) Wis 15 (+7) Con 14 (+7) Int 7 (+3) Cha 9 (+4) Equipment greataxe","HP 1; a missed attack never damages a minion. Immune gaze ","23","Perception +7; blindsight 10 ","6","23","166",""
"26","Medium natural humanoid (blind) XP 600 ","25","110","+9","Greataxe (standard; at-will)  Weapon +16 vs. AC; 1d12 + 5 damage (crit 2d12 + 17). M Offensive Shift (immediate reaction, when an enemy moves within 2 squares of the grimlock ambusher and attacks an ally of the grimlock; recharges when first bloodied) The grimlock ambusher shifts and makes a melee basic attack against the enemy. Alignment Evil Languages Common, Deep Speech Skills Athletics +15, Endurance +12 Str 20 (+10) Dex 14 (+7) Wis 15 (+7) Con 14 (+7) Int 9 (+4) Cha 9 (+4) Equipment greataxe","HP 110; Bloodied 55; see also offensive shift ","23","Perception +7; blindsight 10 ","6","23","167",""
"35","Medium natural humanoid (blind) XP 1,038 ","32","1","+9","Greataxe (standard; at-will)  Weapon +25 vs. AC; 9 damage (12 damage against a bloodied target). Alignment Evil Languages Common, Deep Speech Str 17 (+11) Dex 12 (+9) Wis 15 (+10) Con 14 (+10) Int 7 (+6) Cha 9 (+7) Equipment greataxe","HP 1; a missed attack never damages a minion. Immune gaze ","30","Perception +10; blindsight 10 ","6","30","168",""
"25","Medium natural humanoid (blind) XP 800 ","27","156","+7","Greataxe (standard; at-will)  Weapon +16 vs. AC; 1d12 + 6 damage (crit 2d12 + 18). M Power Attack (standard; at-will)  Weapon Requires greataxe; +14 vs. AC; 1d12 + 12 damage (crit 2d12 + 24). M Frenzied Attack (standard; at-will)  Weapon The grimlock berserker makes two greataxe attacks against a bloodied enemy. Grimlock Rage When the grimlock berserker bloodies an enemy, it gains 10 temporary hit points. Alignment Evil Languages Common, Deep Speech Skills Athletics +17, Endurance +14 Str 22 (+12) Dex 12 (+7) Wis 15 (+8) Con 16 (+9) Int 7 (+4) Cha 9 (+5) Equipment greataxe","HP 156; Bloodied 78 ","22","Perception +8; blindsight 10 ","6","23","169",""
"30","Large natural animate (construct) XP 1,000 ","29","138","+9","Slam (standard; at-will) Reach 2; +20 vs. AC; 2d6 + 7 damage. Alignment Unaligned Languages -- Str 24 (+14) Dex 10 (+7) Wis 16 (+10) Con 18 (+11) Int 7 (+5) Cha 9 (+6)","HP 138; Bloodied 69 ","22","Perception +15; darkvision Shield Other aura 2; as long as its master is within the aura, the shield guardian grants its master a +2 bonus to all defenses and takes half of its master's damage until it is destroyed. ","4","27","170",""
"32","Large natural animate (construct) XP 1,600 ","32","163","+8","Slam (standard; at-will) Reach 2; +19 vs. AC; 3d6 + 7 damage, and the target is immobilized (save ends). M Block Charge (immediate interrupt, when an enemy ends the movement portion of a charge within 8 squares of the battle guardian; at-will) The battle guardian charges the enemy and makes a slam attack. The target is knocked prone on a hit. Cover Retreat An ally adjacent to a battle guardian does not provoke opportunity attacks when moving, as long as that ally remains adjacent. Alignment Unaligned Languages -- Str 24 (+14) Dex 11 (+8) Wis 14 (+10) Con 19 (+12) Int 7 (+6) Cha 11 (+8)","HP 163; Bloodied 81 ","26","Perception +15; darkvision ","8","29","171",""
"21","Medium fey humanoid XP 300 ","20","83","+7","; see also fey stepQuarterstaff (standard; at-will)  Weapon +9 vs. AC; 1d8 + 4 damage. C Howl (standard; at-will)  Thunder Close blast 5; +10 vs. Fortitude; 1d6 + 4 thunder damage, and the target is pushed 3 squares. C Shriek of Pain (standard; recharges when first bloodied)  Thunder Close blast 5; +8 vs. Fortitude; 3d6 + 4 thunder damage, or 3d6 + 9 thunder damage if the howling hag is bloodied. Miss: Half damage. Change Shape (minor; at-will)  Polymorph A howling hag can alter its physical form to appear as an old crone of any Medium humanoid race (see Change Shape, page 280). Fey Step (move; encounter)  Teleportation The howling hag can teleport 10 squares. Alignment Evil Languages Common, Elven Skills Bluff +11, Insight +10, Intimidate +11, Nature +10 Str 18 (+7) Dex 18 (+7) Wis 15 (+5) Con 19 (+7) Int 12 (+4) Cha 16 (+6) Equipment quarterstaff","HP 83; Bloodied 41; see also shriek of pain ","19","Perception +10; low-light vision Baleful Whispers (Psychic) aura 5; an enemy that ends its turn in the aura takes 1d6 psychic damage. ","6","18","172",""
"24","Medium fey humanoid (aquatic) XP 500 ","23","107","+11"," (swamp walk), swim 8Claw (standard; at-will) +15 vs. AC; 1d8 + 6 damage. M Rending Claws (standard; recharges when first bloodied) The bog hag makes two claw attacks against the same target; if both claws hit, the hag deals an extra 5 damage to the target. Change Shape (minor; at-will)  Polymorph A bog hag can alter its physical form to appear as a beautiful young female elf, half-elf, eladrin, or human (see Change Shape, page 280). Evasive Charge The bog hag shifts 2 squares after charging. Alignment Evil Languages Common, Elven Skills Intimidate +12, Nature +12, Stealth +14 Str 22 (+11) Dex 18 (+9) Wis 15 (+7) Con 19 (+9) Int 12 (+6) Cha 14 (+7)","HP 107; Bloodied 53; see also rending claws ","21","Perception +7; low-light vision Unwholesome Presence aura 3; enemies in the aura gain only half the normal hit points from spending healing surges. ","8","19","173",""
"34","Medium fey humanoid XP 2,000 ","34","171","+15","Claw (standard; at-will)  Necrotic +24 vs. AC; 1d8 + 7 necrotic damage, and the target is marked and cannot spend healing surges or regain hit points until the end of the death hag's next turn. C Life Drain (standard; recharge    )  Healing , Necrotic Close blast 3; +22 vs. Fortitude; 1d8 + 4 necrotic damage, and the death hag regains 5 hit points for each creature damaged by this attack. Change Shape (minor; at-will)  Polymorph A death hag can alter its physical form to appear as female of any Medium humanoid race (see Change Shape, page 280). Alignment Evil Languages Common, Elven Skills Bluff +19, Insight +17, Intimidate +19, Nature +17 Str 25 (+16) Dex 18 (+13) Wis 17 (+12) Con 19 (+13) Int 16 (+12) Cha 20 (+14)","HP 171; Bloodied 85; see also life drain ","31","Perception +12; low-light vision ","6","32","174",""
"27","Medium fey humanoid XP 1,000 ","28","109","+15","Claw (standard; at-will) +19 vs. AC; 1d6 + 6 damage. If the night hag has combat advantage against the target, the target is also stunned (save ends). M Dream Haunting (standard; at-will)  Psychic The night hag moves into a stunned or unconscious creature's space and makes an attack against it; +18 vs. Will; 3d6 + 4 psychic damage, and the night hag disappears into the target's mind. While in this state, the night hag is removed from play and does nothing on subsequent turns except deal 3d6 + 4 psychic damage to the target (no attack roll required). As long as the target remains stunned or unconscious, the night hag can't be attacked. When the target is no longer stunned or unconscious, or when the target dies, the hag reappears adjacent to the target and is insubstantial until the start of its next turn. C Wave of Sleep (standard; recharge  )  Psychic , Sleep Close blast 5; +17 vs. Will; 1d8 + 3 psychic damage, and the target is dazed (save ends). First Failed Save: The target falls unconscious (no save). Change Shape (minor; at-will)  Polymorph A night hag can alter its physical form to appear as an old crone of any Medium humanoid race (see Change Shape, page 280). Alignment Evil Languages Common, Elven Skills Arcana +14, Bluff +16, Intimidate +16, Stealth +16 Str 22 (+13) Dex 18 (+11) Wis 17 (+10) Con 19 (+11) Int 14 (+9) Cha 18 (+11)","HP 109; Bloodied 54 ","26","Perception +10; darkvision Shroud of Night aura 5; bright light in the aura is reduced to dim light, and dim light becomes darkness. ","8","26","175",""
"16","Small natural humanoid XP 31 ","12","1","+3","Short Sword (standard; at-will)  Weapon +7 vs. AC; 4 damage. r Sling (standard; at-will)  Weapon Ranged 10/20; +7 vs. AC; 4 damage. Nimble Reaction Halflings gain a +2 racial bonus to AC against opportunity attacks. Second Chance (immediate interrupt, when hit by an attack; encounter) The halfling stout forces the attacker to reroll the attack and take the new result. Alignment Any Languages Common, one other Skills Acrobatics +10, Thievery +10 Str 11 (+1) Dex 15 (+3) Wis 9 (+0) Con 10 (+1) Int 10 (+1) Cha 14 (+3) Equipment leather armor, short sword, sling with 20 bullets","HP 1; a missed attack never damages a minion. ","14","Perception +5 ","6","14","176",""
"16","Small natural humanoid XP 125 ","13","34","+6","; see alsobile melee attack m Dagger (standard; at-will)  Weapon +7 vs. AC; 1d4 + 3 damage. r Dagger (standard; at-will)  Weapon Ranged 5/10; +7 vs. AC; 1d4 + 3 damage. M Mobile Melee Attack (standard; at-will) The halfling thief can move up to 3 squares and make one melee basic attack at any point during that movement. The halfling thief doesn't provoke opportunity attacks when moving away from the target of its attack. Combat Advantage The halfling thief deals an extra 1d6 damage on melee attacks against any target it has combat advantage against. Nimble Reaction Halflings gain a +2 racial bonus to AC against opportunity attacks. Second Chance (immediate interrupt, when the halfling would be hit by an attack; encounter) The halfling thief forces the attacker to reroll the attack and take the new result. Alignment Any Languages Common, one other Skills Acrobatics +11, Stealth +9, Thievery +11 Str 12 (+2) Dex 16 (+4) Wis 11 (+1) Con 10 (+1) Int 10 (+1) Cha 14 (+3) Equipment leather armor, 4 daggers, thieves' tools","HP 34; Bloodied 17 ","15","Perception +1 ","6","14","177",""
"18","Small natural humanoid XP 250 ","14","52","+11","Short Sword (standard; at-will)  Poison , Weapon +10 vs. AC; 1d6 + 4 damage, and the halfling prowler makes a secondary attack. Secondary Attack: +8 vs. Fortitude; the target takes ongoing 3 poison damage and is slowed (save ends both). R Hand Crossbow (standard; at-will)  Poison, Weapon Ranged 10/20; +10 vs. AC; 1d6 + 4 damage, and the halfling prowler makes a secondary attack. Secondary Attack: +8 vs. Fortitude; the target takes ongoing 3 poison damage and is slowed (save ends both). Catfall If the halfling prowler falls, reduce the distance it falls by 20 feet when determing how much damage it takes. Crowd Shield The halfling prowler gains a +2 bonus to its AC and Reflex defense if it has one creature adjacent to it, or a +4 bonus if two or more creatures are adjacent to it. Nimble Reaction Halflings gain a +2 racial bonus to AC against opportunity attacks. Second Chance (immediate interrupt, when the halfling would be hit by an attack; encounter) The halfling prowler forces the attacker to reroll the attack and take the new result. Alignment Any Languages Common, one other Skills Acrobatics +14, Athletics +9, Stealth +12, Streetwise +10, Thievery +14 Str 12 (+4) Dex 18 (+7) Wis 10 (+3) Con 10 (+3) Int 10 (+3) Cha 15 (+5) Equipment leather armor, poisoned short sword, hand crossbow with 10 poisoned bolts, thieves' tools","HP 52; Bloodied 26 ","17","Perception +8 ","6","15","178",""
"20","Medium fey humanoid XP 250 ","17","71","+5",", fly 8 (clumsy)Claw (standard; at-will) +11 vs. AC; 1d8 + 2 damage. C Alluring Song (standard; sustain minor; at-will)  Charm Close burst 10; deafened creatures are immune; +12 vs. Will; the target is pulled 3 squares and immobilized (save ends). When the harpy sustains the power, any target that has not yet saved against the effect is pulled 3 squares and immobilized (save ends). C Deadly Screech (standard; recharge   )  Thunder Close burst 4; +12 vs. Fortitude; 1d6 + 4 thunder damage, and the target is dazed (save ends). Alignment Evil Languages Common Skills Stealth +10 Str 15 (+5) Dex 15 (+5) Wis 14 (+5) Con 15 (+5) Int 10 (+3) Cha 19 (+7)","HP 71; Bloodied 35 ","17","Perception +5 ","6","19","179",""
"25","Medium fey humanoid XP 400 ","23","100","+10",", fly 8 (clumsy)Claw (standard; at-will)  Fire +14 vs. AC; 1d8 + 2 damage plus 1d8 fire damage. C Cloud of Ash (standard; recharge    )  Fire The bloodfire harpy disgorges a cloud of burning ash. Close blast 3; +12 vs. Fortitude; 1d10 + 5 fire damage, and the target is blinded (save ends). Alignment Evil Languages Common Str 15 (+6) Dex 18 (+8) Wis 14 (+6) Con 20 (+9) Int 12 (+5) Cha 21 (+9)","HP 100; Bloodied 50 ","22","Perception +11 Burning Song (Fire) aura 20; enemies within the aura at the start of their turns take 5 fire damage (deafened creatures are immune). ","6","23","180",""
"29","Medium elemental animate (construct) XP 800 ","28","131","+11",", fly 6 (clumsy)Elemental Greatsword (standard; at-will)  Weapon; Cold, Fire, Lightning, or Thunder +20 vs. AC; 1d10 + 7 damage plus 1d10 cold, fire, lightning, or thunder damage (helmed horror's choice). M Blade Sweep (standard; encounter)  Weapon; Cold, Fire, Lightning, or Thunder The helmed horror makes an elemental greatsword attack against two different targets within reach. Tactical Step (free, when the helmed horror hits with an opportunity attack; at-will) The helmed horror shifts 2 squares. Alignment Unaligned Languages Common, Primordial Skills Insight +15 Str 24 (+13) Dex 16 (+9) Wis 18 (+10) Con 19 (+10) Int 10 (+6) Cha 14 (+8) Equipment greatsword","HP 131; Bloodied 65 Regeneration 5 ","23","Perception +15; darkvision, truesight 10 ","6","24","181",""
"35","Medium elemental animate (construct) XP 4,000 ","33","348","+16",", fly 8 (clumsy) Action Points 1Elemental Greatsword (standard; at-will)  Weapon; Cold, Fire, Lightning, or Thunder +24 vs. AC; 1d10 + 8 damage plus 1d10 cold, fire, lightning, or thunder damage (helmed horror's choice). M Blade Sweep (standard; encounter)  Weapon; Cold, Fire, Lightning, or Thunder The greater helmed horror makes an elemental greatsword attack against two different targets within reach. C Elemental Burst (standard; recharge   )  Cold, Fire , Lightning , or Thunder Close burst 5; +20 vs. Reflex; 2d6 + 6 cold, fire, lightning, or thunder damage (greater helmed horror's choice). Tactical Step (free, when the helmed horror hits with an opportunity attack; at-will) The greater helmed horror shifts 3 squares. Alignment Unaligned Languages Common, Primordial Skills Insight +20 Str 26 (+17) Dex 21 (+14) Wis 22 (+15) Con 22 (+15) Int 12 (+10) Cha 18 (+13) Equipment greatsword","HP 348; Bloodied 174 Regeneration 10 ","30","Perception +20; darkvision, truesight 10 ","8","31","182",""
"16","Small natural animate (construct, homunculus) XP 125 ","13","31","+7",", fly 3 (clumsy)Bite (standard; at-will)  Poison +3 vs. AC; 1d6 damage, and the homunculus makes a secondary attack against the same target. Secondary Attack: +2 vs. Fortitude; the target is slowed (save ends). See also guard object. R Mind Touch (standard; at-will)  Psychic Ranged 10; +5 vs. Reflex; 1d6 + 3 psychic damage, and the target is dazed (save ends); see also guard object. Guard Object The clay scout gains a +4 bonus to attack rolls against targets adjacent to or carrying its guarded object (see the Guard sidebar). Limited Invisibility  Illusion The clay scout is invisible to dazed creatures. Redirect (immediate interrupt, when targeted by a melee or a ranged attack; at-will) The clay scout makes an attack against the attacker: +4 vs. Will; the triggering attack targets a creature adjacent to the clay scout instead (as chosen by the clay scout). Alignment Unaligned Languages -- Skills Stealth +8 Str 10 (+1) Dex 15 (+3) Wis 10 (+1) Con 13 (+2) Int 10 (+1) Cha 16 (+4)","HP 31; Bloodied 15 ","14","Perception +6; darkvision ","6","15","183",""
"20","Medium natural animate (construct, homunculus) XP 250 ","20","75","+7","; see also slithering shiftBite (standard; at-will)  Poison +11 vs. AC; 1d8 + 3 damage, and ongoing 5 poison damage (save ends). R Poison the Mind (standard; recharge     )  Psychic Ranged 10; only affects creatures taking ongoing poison damage; +8 vs. Will; the target is dazed and slowed (save ends both); see also guard area. Guard Area An iron cobra can use its poison the mind power against any creature in its guarded area (see the Guard sidebar), even if the power hasn't recharged and even if the target isn't taking ongoing poison damage. Slithering Shift (move; at-will) The iron cobra shifts 3 squares as a move action. Alignment Unaligned Languages -- Skills Stealth +10 Str 17 (+6) Dex 15 (+5) Wis 13 (+4) Con 19 (+7) Int 5 (+0) Cha 12 (+4)","HP 75; Bloodied 37 ","18","Perception +9; darkvision ","7","17","184",""
"26","Large immortal beast (mount) XP 500 ","24","111","+10","; see also zephyr footingKick (standard; at-will) +16 vs. AC; 1d8 + 6 damage. M Trample (standard; at-will) The celestial charger can move up to its speed and enter enemies' spaces. This movement provokes opportunity attacks, and the celestial charger must end its move in an unoccupied space. When it enters an enemy's space, the charger makes a trample attack: +14 vs. Reflex; 1d8 + 6 damage, and the target is knocked prone. Celestial Charge (while mounted by a friendly rider of 10th level or higher; at-will)  Mount, Radiant On charge attacks, a celestial charger's rider deals an extra 2d6 radiant damage. Zephyr Footing The celestial charger ignores difficult terrain and can move across any solid or liquid surface. Alignment Lawful good Languages -- Skills Endurance +16 Str 23 (+11) Dex 17 (+8) Wis 15 (+7) Con 23 (+11) Int 3 (+1) Cha 15 (+7)","HP 111; Bloodied 55 ","22","Perception +12; low-light vision ","8","21","185",""
"30","Medium elemental beast (fire) XP 1,600 ","30","205","+10","Bite (standard; at-will)  Fire +20 vs. AC; 1d10 + 6 plus 1d10 fire damage. C Fiery Breath (standard; recharge    )  Fire Close blast 3; +18 vs. Reflex; 4d6 + 7 fire damage. C Fiery Burst (standard; recharge  )  Fire Close burst 3; +18 vs. Reflex; 4d10 + 7 fire damage. Alignment Unaligned Languages -- Str 22 (+14) Dex 14 (+10) Wis 19 (+12) Con 25 (+15) Int 2 (+4) Cha 12 (+9)","HP 205; Bloodied 102 ","28","Perception +17 Fire Shield (Fire) aura 1; any creature that enters or begins its turn in the aura takes 1d10 fire damage. ","8","29","186",""
"16","Medium natural humanoid XP 125 ","12","37","+6","Mace (standard; at-will)  Weapon +4 vs. AC; 1d8 + 1 damage, and the human bandit shifts 1 square. r Dagger (standard; at-will)  Weapon Ranged 5/10; +6 vs. AC; 1d4 + 3 damage. M Dazing Strike (standard; encounter)  Weapon Requires mace; +4 vs. AC; 1d8 + 1 damage, the target is dazed until the end of the human bandit's next turn, and the human bandit shifts 1 square. Combat Advantage The human bandit deals an extra 1d6 damage on melee and ranged attacks against any target it has combat advantage against. Alignment Any Languages Common Skills Stealth +9, Streetwise +7, Thievery +9 Str 12 (+2) Dex 17 (+4) Wis 11 (+1) Con 13 (+2) Int 10 (+1) Cha 12 (+2) Equipment leather armor, mace, 4 daggers","HP 37; Bloodied 18 ","14","Perception +1 ","6","12","187",""
"19","Medium natural humanoid XP 75 ","17","1","+3","Club (standard; at-will)  Weapon +12 vs. AC; 6 damage. Mob Rule The human lackey gains a +2 power bonus to all defenses while at least two other human lackeys are within 5 squares of it. Alignment Any Languages Common Str 16 (+6) Dex 11 (+3) Wis 12 (+4) Con 14 (+5) Int 10 (+3) Cha 13 (+4) Equipment leather armor, club","HP 1; a missed attack never damages a minion. ","14","Perception +4 ","6","15","188",""
